startDate,siteID,regionName,SiteRef,siteDescription,flowDirection,trafficCount_x,siteRef,SH,siteType,geometry,date,week,month,year,holiday,trafficCount_y
2020-10-19 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,22730.5,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-19,Monday,10,2020,False,88617.0
2020-10-20 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,2647.5,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-20,Tuesday,10,2020,False,91639.0
2020-10-20 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,22957.5,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-20,Tuesday,10,2020,False,91639.0
2020-10-20 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,1548.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-20,Tuesday,10,2020,False,91639.0
2020-10-20 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,21887.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-20,Tuesday,10,2020,False,91639.0
2020-10-20 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,810.5,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-20,Tuesday,10,2020,False,91639.0
2020-10-20 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,22491.5,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-20,Tuesday,10,2020,False,91639.0
2020-10-20 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,17053.5,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-20,Tuesday,10,2020,False,91639.0
2020-10-20 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,2243.5,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-20,Tuesday,10,2020,False,91639.0
2020-10-21 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,791.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-21,Wednesday,10,2020,False,92900.0
2020-10-21 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,2658.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-21,Wednesday,10,2020,False,92900.0
2020-10-21 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,22418.5,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-21,Wednesday,10,2020,False,92900.0
2020-10-21 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,22427.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-21,Wednesday,10,2020,False,92900.0
2020-10-21 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,17621.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-21,Wednesday,10,2020,False,92900.0
2020-10-21 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,1565.5,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-21,Wednesday,10,2020,False,92900.0
2020-10-21 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,2168.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-21,Wednesday,10,2020,False,92900.0
2020-10-21 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,23251.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-21,Wednesday,10,2020,False,92900.0
2020-10-22 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,2693.5,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-22,Thursday,10,2020,False,93721.0
2020-10-22 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,22773.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-22,Thursday,10,2020,False,93721.0
2020-10-22 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,17882.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-22,Thursday,10,2020,False,93721.0
2020-10-22 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,808.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-22,Thursday,10,2020,False,93721.0
2020-10-22 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,23376.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-22,Thursday,10,2020,False,93721.0
2020-10-22 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,2069.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-22,Thursday,10,2020,False,93721.0
